"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",1.70129839319932e-45,-1.20064471512896,0.576,0.957,4.26124208544634e-41,"Cwc22","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"mt-Nd1",1.09890282635779e-33,1.87776098249475,0.684,0.428,2.75242190917835e-29,"mt-Nd1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"mt-Co3",5.45318164715851e-29,1.44034509081247,0.838,0.648,1.36585840716379e-24,"mt-Co3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"mt-Co2",7.77305041620274e-23,1.37843993083242,0.735,0.584,1.9469159377463e-18,"mt-Co2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Gm42418",1.04797789523319e-20,-0.345865746196822,0.991,0.998,2.62487023419057e-16,"Gm42418","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"mt-Atp6",1.45106143478177e-19,1.28751517345732,0.719,0.566,3.63447357569789e-15,"mt-Atp6","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"mt-Co1",5.47562020968563e-19,1.29122211595787,0.656,0.489,1.37147859391996e-14,"mt-Co1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"mt-Cytb",1.9402352726259e-17,1.39363376446898,0.546,0.335,4.85970728734609e-13,"mt-Cytb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Dab1",4.61743585407354e-17,0.314502883895882,1,0.966,1.1565291583698e-12,"Dab1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Edil3",1.93657185879515e-16,0.778690581248751,0.78,0.727,4.85053153472421e-12,"Edil3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Snhg11",1.14799786800972e-14,-0.360605676199752,0.803,0.973,2.87539026000395e-10,"Snhg11","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Pbx3",2.3688710147584e-13,1.27092284803351,0.445,0.259,5.93331123066535e-09,"Pbx3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Tuba1a",1.46232288723201e-12,1.0052616748332,0.869,0.886,3.66268013565e-08,"Tuba1a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Hsp90ab1",1.8166799131117e-12,1.02044532905552,0.585,0.514,4.55023817837087e-08,"Hsp90ab1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"mt-Nd2",1.8449250197584e-12,1.09631731510759,0.534,0.434,4.62098369698886e-08,"mt-Nd2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Pcdh17",2.05646584239753e-10,-1.20305943086236,0.333,0.582,5.15082999545309e-06,"Pcdh17","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Fat3",2.70321091760966e-10,-0.774529169087489,0.562,0.803,6.77073238533691e-06,"Fat3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Tubb2b",3.1652378122894e-10,1.13349917590501,0.614,0.486,7.92797114844126e-06,"Tubb2b","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"mt-Nd4",3.34406727164545e-10,1.10551204884693,0.473,0.348,8.37588529529037e-06,"mt-Nd4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Utrn",3.37000905090589e-10,0.782988296352231,0.445,0.358,8.44086166980399e-06,"Utrn","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Actb",7.31965818649764e-10,0.929232313677805,0.595,0.515,1.83335478597206e-05,"Actb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Tubb2a",1.51064196933485e-09,1.05601714702872,0.667,0.62,3.78370494059301e-05,"Tubb2a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
