"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",1.89095120120354e-246,-0.975675275517844,0.986,0.999,4.7362654736545e-242,"Gm42418","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Dalrd3",7.54564565585188e-107,1.50616671078856,0.815,0.565,1.88995786742122e-102,"Dalrd3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Meg3",1.49827808281435e-89,0.428260634830325,0.999,1,3.75273711402511e-85,"Meg3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Msra",1.76252317706149e-67,0.806123699150405,0.992,0.984,4.41459180158592e-63,"Msra","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Dmd",1.04123785082851e-61,-0.793932033075899,0.966,0.986,2.60798844497016e-57,"Dmd","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Cwc22",4.63104796106669e-60,-1.12725372522416,0.631,0.852,1.15993858280837e-55,"Cwc22","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Las1l",2.06535926079079e-59,1.14213300361742,0.755,0.563,5.17310534050268e-55,"Las1l","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"AY036118",3.58060535972104e-59,-0.699082677700659,0.81,0.946,8.9683422444933e-55,"AY036118","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Cpt1c",9.20751552444807e-59,1.15837164222935,0.687,0.496,2.30620641340851e-54,"Cpt1c","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Ddx5",3.33733053330935e-55,0.715935075245498,0.962,0.919,8.35901178677993e-51,"Ddx5","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Pabpn1",2.19342971637158e-54,0.866665783176212,0.856,0.712,5.49388341059589e-50,"Pabpn1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Prpf4b",1.6165336431955e-51,0.776117462984324,0.841,0.762,4.04893181611178e-47,"Prpf4b","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Atp1b1",5.73491447801026e-51,-0.665624663094263,0.811,0.936,1.43642402930723e-46,"Atp1b1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Lncpint",6.4556263123577e-51,-1.95523088283726,0.353,0.554,1.61694072245623e-46,"Lncpint","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Pcsk2",1.16359185596712e-49,0.685445136347665,0.908,0.88,2.91444852164085e-45,"Pcsk2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Snrnp70",2.41674470261049e-48,0.803686490614215,0.877,0.795,6.05322045662849e-44,"Snrnp70","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Cck",1.44902236663618e-47,-1.06015049980276,0.432,0.645,3.62936632171363e-43,"Cck","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"9530059O14Rik",1.31262825487641e-45,0.639101455251607,0.798,0.73,3.28773998998894e-41,"9530059O14Rik","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Prkcg",2.88762322727112e-45,0.721836071868865,0.755,0.703,7.23262989734598e-41,"Prkcg","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Tanc1",1.79108606791552e-43,-2.40991176503745,0.109,0.339,4.48613327430799e-39,"Tanc1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Gm44257",5.96329139172105e-43,1.52390077479772,0.451,0.262,1.49362559488437e-38,"Gm44257","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Hsp90aa1",7.10308927699547e-42,-0.883663509573136,0.467,0.725,1.77911077120906e-37,"Hsp90aa1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Wipf3",1.38427553773402e-41,-1.41318764201495,0.323,0.571,3.4671949393624e-37,"Wipf3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Pigk",2.32580205381685e-41,0.68302726082878,0.832,0.784,5.82543640419505e-37,"Pigk","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Magi2",9.75390412132952e-41,-0.478471799564663,0.994,1,2.44306036526941e-36,"Magi2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Nrg1",1.28568325283083e-40,0.40505147743595,0.982,0.875,3.22025084336538e-36,"Nrg1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Arpp21",1.3637415584491e-39,0.385888627071311,0.989,0.991,3.41576348144747e-35,"Arpp21","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Gpm6a",2.06628530423318e-39,-0.429864009017258,0.956,0.994,5.17542480151284e-35,"Gpm6a","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Dync1i2",2.27501434100493e-39,0.586113571207603,0.846,0.785,5.69822841991504e-35,"Dync1i2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Khdrbs3",2.65412335560076e-39,-0.83691835018481,0.762,0.902,6.64778276877322e-35,"Khdrbs3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Prrt1",4.28344764904161e-39,1.24861788854853,0.502,0.322,1.07287513265545e-34,"Prrt1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Mpp6",2.61110384737517e-38,0.726143922482784,0.696,0.594,6.54003180652058e-34,"Mpp6","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Rimbp2",1.11859644640293e-36,0.691149440300444,0.735,0.653,2.80174851930543e-32,"Rimbp2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Cpe",8.90347680105035e-35,-0.624055573284833,0.768,0.904,2.23005383435908e-30,"Cpe","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Atp6v0c",1.62377111866298e-34,-0.758945263531549,0.446,0.684,4.06705952091517e-30,"Atp6v0c","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Taco1",4.80857882804494e-34,1.21459264797719,0.343,0.203,1.20440473906042e-29,"Taco1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Pcdh15",5.0298076670519e-34,0.306278923892353,0.847,0.649,1.25981592636649e-29,"Pcdh15","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Hspa8",7.48437712734815e-34,-0.632358320592504,0.56,0.773,1.87461193908689e-29,"Hspa8","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Akt3",8.28895156538925e-34,-0.373549811848606,0.984,0.998,2.07613369858305e-29,"Akt3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
"Gpi1",1.05365381912243e-33,0.76901891978256,0.655,0.552,2.63908672075594e-29,"Gpi1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Cacna1d",1.26613027079187e-33,0.48717438311477,0.93,0.901,3.1712764892524e-29,"Cacna1d","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Leng9",2.12855509883353e-33,1.31058790024019,0.403,0.234,5.33139195604834e-29,"Leng9","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Slit3",3.72212114538192e-33,0.40014511994042,0.988,0.989,9.3227968328381e-29,"Slit3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Rbfox3",5.19358185479092e-33,0.470035626337388,0.801,0.796,1.30083644716948e-28,"Rbfox3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up","Sig"
"Aldoa",1.36494207222077e-31,-1.09556776660517,0.209,0.445,3.41877040829137e-27,"Aldoa","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down","Sig"
