"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",3.97107730650487e-80,-1.00500736762536,0.997,0.997,9.94635732960274e-76,"Gm42418","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down","Sig"
"AY036118",3.14970717777721e-49,-1.38055197440165,0.725,0.859,7.88907156817858e-45,"AY036118","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down","Sig"
"Ctnna2",8.45063284502464e-29,0.562416498593225,0.998,0.924,2.11663000869332e-24,"Ctnna2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up","Sig"
"Gm47283",3.06747334856871e-27,-1.75795017934929,0.426,0.555,7.68310049616006e-23,"Gm47283","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down","Sig"
"Rbfox1",6.69139321950535e-26,0.47994792742904,0.995,0.987,1.6759932596895e-21,"Rbfox1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up","Sig"
"Sparcl1",4.75773086146768e-24,-1.70984440189826,0.256,0.404,1.19166884887181e-19,"Sparcl1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down","Sig"
"Grin2a",3.27669518736502e-23,-0.576830057497172,0.87,0.849,8.20713843579317e-19,"Grin2a","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down","Sig"
"Actb",3.76118409004124e-23,-1.37796692718219,0.469,0.607,9.42063779032629e-19,"Actb","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down","Sig"
"Sema6d",1.30775652563214e-22,0.804445674544814,0.952,0.664,3.27553776975082e-18,"Sema6d","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up","Sig"
"Zbtb20",4.99557859502779e-22,0.264656023476146,1,1,1.25124257069661e-17,"Zbtb20","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up","Sig"
